"Applied filters:
Calendar_Day is on or after 01/01/2026 and is before 27/06/2026
COUNTRY_SHORT is UKR
Attribute is Article_ID, Article_Desc, or Article_Image
Store_Name is UA_KYIV_Spektr_FO
KPIs is Net_Sales_EUR, Net_Qty, NS_vs_LY, Store_Stock, Warehouse_Stock, or Weeks Cover";;;;;;;;
;;;;;;;;
Article_ID;Article_Desc;Article_Image;Net_Sales_EUR;Net_Qty;NS_vs_LY;Store_Stock;Warehouse_Stock;Weeks_Cover
JI6732;JG ANIMAL LOGO;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/JI6732-small.png;87;7;;29;;102
H06314;Tensaur Sport 2.0 K;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/H06314-small.png;87;3;;24;;
JR4673;DROPSET 4 TRAINER M;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/JR4673-small.png;87;1;;;1;
JP4493;Q12 TS ROLLER;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/JP4493-small.png;87;5;;30;100;228
JD2346;RUN IT BL SHO W;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/JD2346-small.png;87;11;;1;;
JH6077;VL COURT MICKEY EL C;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/JH6077-small.png;87;7;;;;
KE9791;TRACKPANT;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/KE9791-small.png;87;3;;;;
JP4445;Q2 MONOGRAM SHO;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/JP4445-small.png;87;12;;;;
JV6566;LFC TR PNT;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/JV6566-small.png;86;4;;17;;
HQ6116;NMD CRIB;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/HQ6116-small.png;86;23;662%;;;
JM5704;adi365 Co Tee W;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/JM5704-small.png;86;6;;;;
IY0324;MONO 3S SHORTS;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/IY0324-small.png;86;9;-85%;;;
KC3161;M A SZN FL FZ;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/KC3161-small.png;86;3;;36;1;
JD6280;FARM PRM TOP;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/JD6280-small.png;86;9;;;;
JR5505;FLOWBOOST;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/JR5505-small.png;86;3;;;;
Q47226;STAN SMITH W;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/Q47226-small.png;86;10;-91%;;;
JC9627;JG BL TEE 160;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/JC9627-small.png;86;18;;;;
JW1050;ESSENTIALS LS;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/JW1050-small.png;86;3;;;3;
JM3124;MT ESS HZ FL;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/JM3124-small.png;86;8;;;;
JZ5881;LFC BACKPACK;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/JZ5881-small.png;86;6;;;;
JY2790;WSH SWT PNT;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/JY2790-small.png;86;4;;;;
JD5753;TR GYMSACK;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/JD5753-small.png;86;10;;;;
JX5313;J  CAMO T;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/JX5313-small.png;86;13;;;;
IA0975;STARLANCER MINI;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/IA0975-small.png;85;23;-69%;11;;4
JP3976;REAL TR JSY Y;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/JP3976-small.png;85;7;;10;;35
KF3685;BOW MID DOWN;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/KF3685-small.png;85;1;;;140;
HZ4428;W ESS 3S L D HP;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/HZ4428-small.png;85;2;;;1 180;
JV8547;Down JAcket;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/JV8547-small.png;85;2;;;392;
HZ5728;ESS 3S L DOWN V;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/HZ5728-small.png;85;6;;;;
JG1409;TF BRA;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/JG1409-small.png;85;5;;;;
IY7030;AC CUFF KNIT;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/IY7030-small.png;85;8;;;18;
IY7668;LOGO BEANIE CUF;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/IY7668-small.png;85;8;;;238;
JV9833;W ALL SZN TEE;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/JV9833-small.png;85;6;;;;
KE1295;M FOP T;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/KE1295-small.png;85;3;;32;;
JX2790;FULL ZIP HOODIE;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/JX2790-small.png;85;6;;;;
JM3844;JG TR-ES GL LEG;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/JM3844-small.png;85;9;;11;;13
HT3335;TOUR HAT 3 STP;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/HT3335-small.png;84;8;209%;22;;26
JW0332;CREW SOCK 3P;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/JW0332-small.png;84;14;;;;
JI2757;SAMBA CRIB;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/JI2757-small.png;84;5;;13;32;
JD0446;TIRO ES JSY;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/JD0446-small.png;84;14;;;10;
HC9547;CusTre Crw Sck;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/HC9547-small.png;83;8;-84%;3;;
JC7718;TR-ES 3S WV SH;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/JC7718-small.png;83;11;;;;
JF3654;LK MRVL SM T;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/JF3654-small.png;83;21;;;;
IY8137;XPRESS GIRLS;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/IY8137-small.png;83;8;-32%;35;15;88
H44278;BOS Blank Tee M;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/H44278-small.png;83;14;;1;;
IF9311;MONOFIT TR Mickey I;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/IF9311-small.png;83;18;-81%;;;
JW0506;W STADIUM SWT;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/JW0506-small.png;83;5;;;;
IY4798;FIREBIRD TS;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/IY4798-small.png;83;5;;;;
JX3884;SHORT TEE SET;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/JX3884-small.png;83;7;;;36;126
JP2689;aSMC CAP;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/JP2689-small.png;83;7;;;;
GK8979;M BL FT PT;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/GK8979-small.png;82;3;-51%;;0;
JI6167;J ALLSZN GFX SW;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/JI6167-small.png;82;5;;16;469;
IW0418;TIRO25C PRE JKT;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/IW0418-small.png;82;6;;;;
ID0262;X_PLRPATH EL C;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/ID0262-small.png;82;6;;;;
JY3542;FOOTBALL TEE;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/JY3542-small.png;82;6;;1;;
JW2030;aSMC TN PO JKT;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/JW2030-small.png;82;1;;12;;
IB4886;DOODLE LINEAR T;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/IB4886-small.png;82;10;-59%;;;
JX0207;JG GLAM TS;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/JX0207-small.png;82;5;;;;
JD0586;TIRO ES JSY Y;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/JD0586-small.png;82;9;;21;;
IX7599;TEE;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/IX7599-small.png;82;12;;;;
JN8763;REAL H SO;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/JN8763-small.png;82;10;;7;;12
IH8584;RUN 70s 2.0;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/IH8584-small.png;82;4;;2;100;
JV7316;SEA PANT;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/JV7316-small.png;82;4;;5;;
JX0690;D4T FULL-ZIP HO;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/JX0690-small.png;82;4;;;;
JV5118;LK ADRPT 3PP;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/JV5118-small.png;82;13;;;;
JM6465;M SAUCE T;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/JM6465-small.png;81;4;;28;;
JN7367;M L B LEMON T;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/JN7367-small.png;81;7;;9;;5
HZ8484;W ESS 3S L D VE;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/HZ8484-small.png;81;4;;;;
JD6293;FARM GFX TEE;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/JD6293-small.png;81;13;;;;
IG8167;ADIFOM ADILETTE C;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/IG8167-small.png;81;6;;;;
JP1130;2000 SHORTS;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/JP1130-small.png;81;10;;5;;9
GZ3774;ADILETTE SHOWER;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/GZ3774-small.png;80;8;;;;
JX2948;SHORT PUFFER;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/JX2948-small.png;80;2;;;0;
GW4650;OZWEEGO W;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/GW4650-small.png;80;3;-96%;;;
IH8662;SUPERNOVA RISE 2 M;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/IH8662-small.png;80;3;;;;
IT9728;aSMC TPA SHORT;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/IT9728-small.png;80;3;;;;
IU2823;ADI GOLF PANT;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/IU2823-small.png;80;3;;19;0;
JN2677;W FARM B BAG;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/JN2677-small.png;80;3;;;;
JR5504;FLOWBOOST;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/JR5504-small.png;80;3;;;;
JS3172;RAPIDMOVE ADV 2 TRAINER W;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/JS3172-small.png;80;3;;;;
JW5965;SPACER HOODIE;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/JW5965-small.png;80;3;;;;
JW7771;W Z.N.E. OH PT;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/JW7771-small.png;80;3;;;;
JX2717;aSMC SP PANT;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/JX2717-small.png;80;3;;;;
KS6471;BRANDING CREW;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/KS6471-small.png;80;3;;;;
HQ8589;PUREBOOST 22;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/HQ8589-small.png;80;4;-96%;;;
IQ2654;WTR D4T T;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/IQ2654-small.png;80;5;-77%;;;
IY4043;MONO BEANIE;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/IY4043-small.png;80;5;;;38;
KC6287;JERSEY;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/KC6287-small.png;80;5;;9;;
IY0326;MONO FBIRD TP;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/IY0326-small.png;80;6;-97%;;;
HY2081;ESS NC RG FL CW;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/HY2081-small.png;80;6;;;;
IJ9959;TIRO24 TRJKT;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/IJ9959-small.png;80;8;;1;;
HS1655;MATCH SKIRT;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/HS1655-small.png;79;7;;;;
IM1237;ST BTTL 0,75;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/IM1237-small.png;79;5;28%;40;276;369
KF1572;OLP MET BOTTLE;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/KF1572-small.png;79;5;;;;
KG2677;FLEECE PANT;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/KG2677-small.png;79;3;;24;;
JM3797;INF TR-ES PR SE;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/JM3797-small.png;79;10;;5;;
JD4768;P ESS TANK TOP;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/JD4768-small.png;79;10;;;;
JZ6302;AFA  KIDS TEE;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/JZ6302-small.png;79;7;;3;;
KE6586;FLORALS LOGO T;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/KE6586-small.png;79;7;;;;
JI1610;BUBBLECOMFY I;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/JI1610-small.png;79;12;;;;
IB8646;TIRO L BACKPACK;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/IB8646-small.png;79;3;;17;276;
IG0223;ADIFOM SUPERSTAR 360 I;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/IG0223-small.png;78;22;-55%;;;
JX3021;SST TRACKSUIT;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/JX3021-small.png;78;5;;;;
JV7781;SWEATPANTS;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/JV7781-small.png;78;5;;2;;
JD1491;ESS WR TEE;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/JD1491-small.png;78;9;;;;
ID2890;TERREX WINTER SLIP ON COLD.RDY;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/ID2890-small.png;78;2;;1;0;
JX2957;LONG PUFFER;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/JX2957-small.png;78;2;;;63;
JE6702;TF LS TEE;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/JE6702-small.png;78;4;;;13;
JL8615;FARM TIRO TP;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/JL8615-small.png;78;4;;;;
JM4730;PLEAT SKIRT PRO;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/JM4730-small.png;78;4;;;;
JY4205;aSMC GYMSACK P;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/JY4205-small.png;78;3;;1;;
JW8005;LFC ICON SHO;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/JW8005-small.png;78;6;;;;
IH6313;MONOFIT MINNIE I;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/IH6313-small.png;78;8;;;;
GN1877;ST BTTL 0,75;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/GN1877-small.png;77;5;-71%;15;85;
JW5026;TR-ES BASE T;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/JW5026-small.png;77;11;;;;
JG0988;ICONISEA SH SL;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/JG0988-small.png;77;4;;8;;9
JD8045;WC LGE BOX;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/JD8045-small.png;77;4;;;;
JE8967;M BL FT PT;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/JE8967-small.png;77;4;;4;;
IR6241;3BAR TOWEL LARG;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/IR6241-small.png;77;6;31%;;49;
IM0507;POMPOM BEANIE;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/IM0507-small.png;77;8;;;253;
JD5570;AC SIB;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/JD5570-small.png;77;8;;;;
IY7665;LOGO BEANIE CUF;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/IY7665-small.png;77;10;;;255;
IT0544;WE LOGO T;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/IT0544-small.png;77;9;;;;
JV9837;W ALL SZN TEE;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/JV9837-small.png;77;9;;;;
IL2829;M DOODLE F T;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/IL2829-small.png;77;10;-59%;;;
JX0757;MER TM POLO WLM;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/JX0757-small.png;76;5;;;;
JD0528;TEE;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/JD0528-small.png;76;8;;1;;
JD4550;LK DY MM SWT;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/JD4550-small.png;76;8;;;;
IY7575;I 3S JOG;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/IY7575-small.png;76;7;;16;;56
JW7840;W FI 3S TEE;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/JW7840-small.png;76;7;;;;
HM9304;APWR BP YOUTH;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/HM9304-small.png;76;3;-42%;16;42;
KF3686;BOW MID DOWN;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/KF3686-small.png;75;1;;2;;
KJ1018;aSMC ADISTAR;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/KJ1018-small.png;75;1;;;5;
ID2028;STAN SMITH;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/ID2028-small.png;75;5;-94%;;;
JM5400;OTR B S 2in1 M;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/JM5400-small.png;75;7;;;;
IP1736;MUFC H JSY Y;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/IP1736-small.png;75;8;-69%;;;
JN2578;M TIRO CB TEE;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/JN2578-small.png;75;4;;18;;21
JJ1417;Y MESSI N N G T;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/JJ1417-small.png;75;5;;36;31;
JJ1478;TRX 5P CAP GRPH;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/JJ1478-small.png;75;4;;30;;
IS9028;aSMC TOTE;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/IS9028-small.png;74;1;;;;
JX2938;SLIM JACKET;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/JX2938-small.png;74;2;;;138;
KE3301;DENIM PANTS;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/KE3301-small.png;74;2;;;;
ID3714;VL COURT BASE;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/ID3714-small.png;74;3;;;;
JR1970;MINECRAFT PRO EL C;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/JR1970-small.png;74;3;;;;
JX2674;SEERSCKR SH 5IN;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/JX2674-small.png;74;4;;3;;
IF4977;TERREX UNITY LEA MID R.RDY;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/IF4977-small.png;74;4;;;;
JW4726;M Z.N.E. PT;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/JW4726-small.png;74;4;;;;
JH6296;COPA PURE III LEAGUE FG/MG;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/JH6296-small.png;74;3;;2;;
IU1390;MUFC A JSY;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/IU1390-small.png;74;5;118%;;;
JW5312;DENIM LS SET;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/JW5312-small.png;74;5;;;;
IY5260;3S BEANIE;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/IY5260-small.png;74;7;;4;330;
656927;Tango Rosario;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/656927-small.png;74;7;-29%;0;;
IP4000;TIRO SG LGE;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/IP4000-small.png;74;6;267%;24;;
JW3363;MER SP TEE M;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/JW3363-small.png;74;7;;;;
IM8926;ADI 24 SOCK;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/IM8926-small.png;74;11;;6;;4
IN1568;OTR B LS;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/IN1568-small.png;74;6;;;0;
JD0565;TIRO ES TOP Y;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/JD0565-small.png;74;9;;2;0;
IY7496;PADDED JACKET;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/IY7496-small.png;73;3;;;380;
JV8550;PADDED JACKET;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/JV8550-small.png;73;3;;;428;
JX3066;CREWNECK SWT;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/JX3066-small.png;73;2;;;;
H39799;M FI 3B Pant;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/H39799-small.png;73;4;-82%;;;
GZ5923;ADILETTE SHOWER;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/GZ5923-small.png;73;6;;;38;
IY7770;BBALLCAP LT MET;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/IY7770-small.png;73;5;;13;;46
IN1159;ADIZERO E SHORT;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/IN1159-small.png;73;4;;2;55;200
JD4641;J CAMO LOGO TEE;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/JD4641-small.png;73;6;;21;;74
JM6366;W ATHLETE;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/JM6366-small.png;73;3;;28;;
JC5367;M A SZN FT R PT;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/JC5367-small.png;72;8;168%;;;
KS1404;BB FB TP;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/KS1404-small.png;72;2;;6;;
JN9364;aSMC BOTTLE;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/JN9364-small.png;72;7;;1;;2
JJ3959;M L SL LEMON T;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/JJ3959-small.png;72;10;;2;;
JV7570;GRAPHIC OS SS T;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/JV7570-small.png;72;5;;;;
JG6144;OPT 3S 1/4;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/JG6144-small.png;72;7;;1;;
JM0820;LK DY MM T;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/JM0820-small.png;71;8;;;;
JC7699;GRAPHIC BF TEE;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/JC7699-small.png;71;10;;;;
EE1152;TREF ANK SCK HC;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/EE1152-small.png;71;22;1019%;0;0;
IC9793;M ALL SZN T;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/IC9793-small.png;71;5;-55%;8;;
JW2774;C NEWLOGOCRW 6P;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/JW2774-small.png;71;8;;;;
IE1449;Y-3 JAPAN;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/IE1449-small.png;71;1;;;;
JP9626;MEGARIDE;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/JP9626-small.png;71;1;;;2;
JQ0346;SUPERSTAR WINTER TREK J;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/JQ0346-small.png;71;1;;;43;
JR3736;CAMPUS 00s WTR MD W;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/JR3736-small.png;71;2;;;830;
KT0725;LNY HALFZIP W;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/KT0725-small.png;71;2;;;;
JM3757;W ALL SZN SL FP;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/JM3757-small.png;71;4;;2;0;
GW0344;ADILETTE SANDAL K;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/GW0344-small.png;71;9;;;;
IL5382;M PR 2TONE T;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/IL5382-small.png;71;9;-84%;3;;11
